id,lat,lon,name,description
68313145,-37.0574099,174.9695833,Elsie Morton Place,
68497926,-36.9001012,174.7092686,Alan Wood Park,
70398274,-36.7736118,174.7030338,Lynn Reserve,
71295845,-36.7372180,174.6877041,Harkin Close,
71298557,-36.7211434,174.7054471,Hooton Park,
71299324,-36.7135360,174.7232993,Gleanor Avenue,
72521292,-37.0517258,174.9244194,Longford Park Link reserve,
72524782,-37.0540689,174.8803864,Kauri Point  Reserve,
72524796,-37.0450627,174.8964006,Tington Park,
72536975,-36.7604418,174.7286233,Rewi Alley Reserve,
72537000,-36.7653166,174.7266855,Julia Place,
72537001,-36.7645458,174.7294039,Leiden Place,
73324167,-36.8584227,174.8452055,Madills Farm,
73550920,-36.8089010,174.7517119,Onepoto Domain,
73550925,-36.8088391,174.7512154,Onepoto Domain,
73993526,-36.7327122,174.7530578,Beach Road,
73995126,-36.7325437,174.7263792,Hugh Green Drive,
74866505,-36.6246387,174.7323834,Charlotte Street,
74873572,-36.6228292,174.7162251,Weiti Views Reserve,
74873579,-36.6440471,174.7408294,Ferry Road,
75371533,-36.6167292,174.7170277,Shadon Rise,
76263175,-36.8769908,174.7095827,200 Animal Emergency Centre,
76950616,-36.7568761,174.7466439,Linwood Avenue,
79156111,-36.8676762,174.7364460,Arch Hill Scenic Reserve,
79156113,-36.8677040,174.7363340,Arch Hill Scenic Reserve,
79293261,-36.9545250,174.4721399,Playground,
80216782,-36.8846859,175.0156372,Te Puru Park,
80216839,-36.8803689,175.0426064,Maraetai park,
80216840,-36.8798186,175.0419016,Maraetai park,
80315689,-36.9222114,174.9273760,Santa Cruz Drive,
80336417,-36.9033530,175.0668230,Umupuia Park,
80339277,-36.8807532,174.9939663,Sunkist Bay Reserve,
80339280,-36.8787864,175.0007867,Playground,
80915148,-36.8858987,174.8205763,Waiatarua Reserve,
81139989,-36.9591023,174.9143797,Barry Curtis Park,
81631066,-36.7384766,174.6983664,Brookfield Park,
82005034,-36.7786579,174.7397211,Locket Road,
82011566,-36.7362596,174.7330551,Playground,
82020264,-36.7271053,174.7217909,Taroka Close,
82030867,-36.7544617,174.7397304,Sunnynook Park,
82030883,-36.7584851,174.7406830,Sunnynook Park,
82032889,-36.7598841,174.7348242,Flying Fox,
82032896,-36.7597657,174.7350416,Flying Fox,
82051615,-36.7549624,174.7086946,Bluebird Crescent,
82051621,-36.7609814,174.7186040,Goldfinch Rise,
82051648,-36.7562603,174.7223095,Exeter Place,
82051676,-36.7614220,174.7142746,Bronzewing Terrace,
82059198,-36.7531057,174.7218642,Meadowood Reserve,
82059207,-36.7529598,174.7220648,Playgrounds,
82059214,-36.7553265,174.7242144,Devonshire Reserve,
82065955,-36.7369395,174.7116447,Bushlands Park Drive,
82162524,-36.7732012,174.7284267,Normanton Reserve,
82162526,-36.7781337,174.7197161,Lancelot Reserve,
82162801,-36.7837325,174.7339175,Marlborough Park,
82600734,-36.6086622,174.6831997,Springtide Place,
82600741,-36.6086627,174.6832263,Springtide Place,
82606761,-36.6062546,174.7082231,Flying Fox,
82607322,-36.6346181,174.7533047,Edith Hopper Park,
82886188,-37.1870618,174.8341551,Patumahoe Childrens Playground,
83016026,-37.2076696,174.8931434,Rosa Birch Park,
83017199,-37.2133029,174.9029573,OConnor Drive,
83017200,-37.2134049,174.9029930,OConnor Drive,
83086570,-37.2376634,174.7244121,Dawn Place,
83090724,-37.2490530,174.7321031,Kitchener Road,
83090726,-37.2476717,174.7281856,Kevan Lawrence Park,
83090759,-37.2415825,174.7427304,Rata Street,
83165617,-36.8508881,174.7406412,Tole Reserve,
83591778,-36.6291673,174.7587159,Laurence Street,
83591792,-36.6209264,174.7704541,Hardley Reserve,
83997548,-36.9845164,174.8387055,Ferndown Avenue,
83997550,-36.9840964,174.8350630,Caringbah Drive,
84121904,-36.9584218,174.8245599,Sutton Park,
84121917,-36.9523351,174.8092877,Harania Avenue,
84277965,-36.5812737,174.6775741,Astor Place,
84529068,-36.5845456,174.6888343,Victor Eaves Park,
84625793,-43.3025895,172.0583928,View Hill Domain,
84955821,-36.5803912,174.6902221,Brunton Park,
85122589,-43.5145995,172.5431440,Manson Place,
85129052,-36.5922659,174.6859805,Maygrove Park,
85133685,-36.5904236,174.6982185,Orewa Recreation Reserve,
85134013,-36.5894513,174.6977653,Orewa Recreation Reserve,
85254233,-36.5700885,174.6875110,Jamie Hanson Playpark,
85254846,-39.4955277,176.9191014,Marine Parade,
85321662,-41.1202862,174.8906621,Adventure School,
85321665,-41.1206329,174.8907754,Adventure School,
85321666,-41.1204225,174.8900118,Adventure Kindergarten,
85373581,-36.9696967,174.9024163,Robin Brooke Drive,
85384894,-36.9327210,174.9053072,Huntington Park,
85386086,-36.9509759,174.9076728,Monash Place,
85387124,-36.9807325,174.8980485,Dissmeyer Drive,
85439120,-36.9975279,174.8926623,Keri Anne Place,
85695254,-36.5942457,174.6998763,Orewa Recreation Reserve,
85796786,-36.7174328,174.7356602,Sherwood Reserve,
85887427,-36.7069376,174.7288447,Cairnbrae Reserve,
85887434,-36.7064042,174.7346781,Cranston Street,
85892310,-41.2786735,174.7266170,Montgomery Avenue Play Area,
85933805,-36.9759997,174.8948347,Othello Drive,
85933871,-36.9790321,174.8945424,Huntly-Otahuhu 220kV,
85934564,-36.9886082,174.8917805,Courant Place,
85934572,-36.9874289,174.8879741,Sikkim Crescent,
85937112,-36.9866337,174.8957180,Rotoma Rise,
86611813,-37.0029362,174.9133191,Childrens Neighbourhood Park,
86614682,-37.0242892,174.9141896,Randwick Park,
86614684,-37.0306896,174.9123935,Trimdon Street,
86615465,-37.0419644,174.9131152,Balgowan Terrace,
86615466,-37.0397919,174.9134574,Challen Close,
86821380,-46.0627586,168.8270172,Dolamore Park Play Ground,
